axiom,family,module,origin,primary_kernel,shape_class,arith_domain,primitive_steps,peak_bignum_bits,max_nat_literal_digits,note
Math.Problems.TernaryGoldbach.eq1314LPart_le_APart_sharp._native.native_decide.ax_1_2,Math.Problems.TernaryGoldbach.MinorArcs.Chapter14,Math.Problems.TernaryGoldbach.MinorArcs.Chapter14.PaperEq1314EnvelopeAggregationCore,Math.Problems.TernaryGoldbach.eq1314LPart_le_APart_sharp,IntervalArith.RatInterval.log_enclose_full,transcendental-enclosure,"Rat (exact, unbounded)",50,664,8,"24-term series, ~26 halving steps, argument ~8 decimal digits"
Math.Problems.TernaryGoldbach.eq1314LPart_le_APart_sharp._native.native_decide.ax_1_3,Math.Problems.TernaryGoldbach.MinorArcs.Chapter14,Math.Problems.TernaryGoldbach.MinorArcs.Chapter14.PaperEq1314EnvelopeAggregationCore,Math.Problems.TernaryGoldbach.eq1314LPart_le_APart_sharp,IntervalArith.RatInterval.exp_enclose,transcendental-enclosure,"Rat (exact, unbounded)",16384,1638400,8,"Taylor + interval pow 2^12; 16384 Rat mults, digits grow linearly"
Math.Problems.TernaryGoldbach.eq1314_crude_band_bound._native.native_decide.ax_1_1,Math.Problems.TernaryGoldbach.MinorArcs.Chapter14,Math.Problems.TernaryGoldbach.MinorArcs.Chapter14.PaperEq1314EnvelopeAggregationCore,Math.Problems.TernaryGoldbach.eq1314_crude_band_bound,IntervalArith.RatInterval.log_enclose_full,transcendental-enclosure,"Rat (exact, unbounded)",37,730,4,"54-term series, ~13 halving steps, argument ~4 decimal digits"
Math.Problems.TernaryGoldbach.eq1314_crude_band_bound._native.native_decide.ax_1_2,Math.Problems.TernaryGoldbach.MinorArcs.Chapter14,Math.Problems.TernaryGoldbach.MinorArcs.Chapter14.PaperEq1314EnvelopeAggregationCore,Math.Problems.TernaryGoldbach.eq1314_crude_band_bound,IntervalArith.RatInterval.log_enclose_full,transcendental-enclosure,"Rat (exact, unbounded)",40,465,5,"27-term series, ~16 halving steps, argument ~5 decimal digits"
Math.Problems.TernaryGoldbach.eq1314_crude_band_bound._native.native_decide.ax_1_3,Math.Problems.TernaryGoldbach.MinorArcs.Chapter14,Math.Problems.TernaryGoldbach.MinorArcs.Chapter14.PaperEq1314EnvelopeAggregationCore,Math.Problems.TernaryGoldbach.eq1314_crude_band_bound,IntervalArith.RatInterval.log_enclose_full,transcendental-enclosure,"Rat (exact, unbounded)",40,465,5,"27-term series, ~16 halving steps, argument ~5 decimal digits"
Math.Problems.TernaryGoldbach.eq1314_crude_band_bound._native.native_decide.ax_1_4,Math.Problems.TernaryGoldbach.MinorArcs.Chapter14,Math.Problems.TernaryGoldbach.MinorArcs.Chapter14.PaperEq1314EnvelopeAggregationCore,Math.Problems.TernaryGoldbach.eq1314_crude_band_bound,IntervalArith.RatInterval.log_enclose_full,transcendental-enclosure,"Rat (exact, unbounded)",40,415,5,"24-term series, ~16 halving steps, argument ~5 decimal digits"
Math.Problems.TernaryGoldbach.eq1314_crude_band_bound._native.native_decide.ax_1_5,Math.Problems.TernaryGoldbach.MinorArcs.Chapter14,Math.Problems.TernaryGoldbach.MinorArcs.Chapter14.PaperEq1314EnvelopeAggregationCore,Math.Problems.TernaryGoldbach.eq1314_crude_band_bound,IntervalArith.RatInterval.log_enclose_full,transcendental-enclosure,"Rat (exact, unbounded)",40,415,5,"24-term series, ~16 halving steps, argument ~5 decimal digits"
Math.Problems.TernaryGoldbach.eq1314_crude_band_bound._native.native_decide.ax_1_6,Math.Problems.TernaryGoldbach.MinorArcs.Chapter14,Math.Problems.TernaryGoldbach.MinorArcs.Chapter14.PaperEq1314EnvelopeAggregationCore,Math.Problems.TernaryGoldbach.eq1314_crude_band_bound,IntervalArith.RatInterval.log_enclose_full,transcendental-enclosure,"Rat (exact, unbounded)",40,465,5,"27-term series, ~16 halving steps, argument ~5 decimal digits"
Math.Problems.TernaryGoldbach.eq1314_h_le_nine._native.native_decide.ax_1_1,Math.Problems.TernaryGoldbach.MinorArcs.Chapter14,Math.Problems.TernaryGoldbach.MinorArcs.Chapter14.PaperEq1314EnvelopeAggregationCore,Math.Problems.TernaryGoldbach.eq1314_h_le_nine,IntervalArith.RatInterval.log_enclose_full,transcendental-enclosure,"Rat (exact, unbounded)",93,1743,21,"24-term series, ~69 halving steps, argument ~21 decimal digits"
Math.Problems.TernaryGoldbach.gcdMertensHiAcc_le._native.native_decide.ax_1_1,Math.Problems.TernaryGoldbach.Certs,Math.Problems.TernaryGoldbach.Certs.OddSquarefreeGcdMertens150000,Math.Problems.TernaryGoldbach.gcdMertensHiAcc_le,Math.Problems.TernaryGoldbach.gcdMertensHiAcc,linear-fold-sieve,Nat (2^64),150000,,20,150k Squarefree decisions + gcd
Math.Problems.TernaryGoldbach.minorArcExtractionL_sqrt_scale._native.native_decide.ax_1_1,Math.Problems.TernaryGoldbach.MinorArcs.Chapter14,Math.Problems.TernaryGoldbach.MinorArcs.Chapter14.PaperEq1314EnvelopeAggregationCore,Math.Problems.TernaryGoldbach.minorArcExtractionL_sqrt_scale,IntervalArith.RatInterval.log_enclose_full,transcendental-enclosure,"Rat (exact, unbounded)",37,119,4,"8-term series, ~13 halving steps, argument ~4 decimal digits"
Math.Problems.TernaryGoldbach.minorArcExtractionL_sqrt_scale._native.native_decide.ax_1_2,Math.Problems.TernaryGoldbach.MinorArcs.Chapter14,Math.Problems.TernaryGoldbach.MinorArcs.Chapter14.PaperEq1314EnvelopeAggregationCore,Math.Problems.TernaryGoldbach.minorArcExtractionL_sqrt_scale,IntervalArith.RatInterval.log_enclose_full,transcendental-enclosure,"Rat (exact, unbounded)",50,664,8,"24-term series, ~26 halving steps, argument ~8 decimal digits"
Math.Problems.TernaryGoldbach.oddMertensHiAcc_le._native.native_decide.ax_1_1,Math.Problems.TernaryGoldbach.Certs,Math.Problems.TernaryGoldbach.Certs.OddSquarefreeMertens150000,Math.Problems.TernaryGoldbach.oddMertensHiAcc_le,Math.Problems.TernaryGoldbach.oddMertensHiAcc,linear-fold-sieve,Nat (2^64),150000,,21,150k Squarefree decisions + totient
Math.Problems.TernaryGoldbach.oddMertensLoAcc_ge._native.native_decide.ax_1_1,Math.Problems.TernaryGoldbach.Certs,Math.Problems.TernaryGoldbach.Certs.OddSquarefreeMertens150000,Math.Problems.TernaryGoldbach.oddMertensLoAcc_ge,Math.Problems.TernaryGoldbach.oddMertensLoAcc,linear-fold-sieve,Nat (2^64),150000,,21,150k Squarefree decisions + totient
Math.Problems.TernaryGoldbach.phiSqDiscHiAcc_le._native.native_decide.ax_1_1,Math.Problems.TernaryGoldbach.Certs,Math.Problems.TernaryGoldbach.Certs.OddSquarefreeMertensPhiSq,Math.Problems.TernaryGoldbach.phiSqDiscHiAcc_le,Math.Problems.TernaryGoldbach.phiSqDiscHiAcc,linear-fold-sieve,Nat (2^64),150000,,20,150k Squarefree decisions + Nat.sqrt
Math.Problems.TernaryGoldbach.phiSqHiAcc_le._native.native_decide.ax_1_1,Math.Problems.TernaryGoldbach.Certs,Math.Problems.TernaryGoldbach.Certs.OddSquarefreeMertensPhiSq,Math.Problems.TernaryGoldbach.phiSqHiAcc_le,Math.Problems.TernaryGoldbach.phiSqHiAcc,linear-fold-sieve,Nat (2^64),150000,,20,150k Squarefree decisions
Math.Problems.TernaryGoldbach.quinticMertensHiAcc_le._native.native_decide.ax_1_1,Math.Problems.TernaryGoldbach.Certs,Math.Problems.TernaryGoldbach.Certs.OddSquarefreeQuinticMertens150000,Math.Problems.TernaryGoldbach.quinticMertensHiAcc_le,Math.Problems.TernaryGoldbach.quinticMertensHiAcc,linear-fold-sieve,Nat (2^64),150000,,25,150k Squarefree decisions
MathExtras.ChirreHelfgottLem85.EndpointCert.vmHead_1e6_cert._native.native_decide.ax_1_1,MathExtras.NumberTheory.LSeries,MathExtras.NumberTheory.LSeries.ChirreHelfgottLem85TgAnchorCert,MathExtras.ChirreHelfgottLem85.EndpointCert.vmHead_1e6_cert,(named constants only),fixed-expression,Rat/RatInterval,1,,18,constant-depth comparison of named constants
MathExtras.ChirreHelfgottLem85.TgCert.lowerKernel_mid_cert._native.native_decide.ax_1_1,MathExtras.NumberTheory.LSeries,MathExtras.NumberTheory.LSeries.ChirreHelfgottLem85TgMiddleCert,MathExtras.ChirreHelfgottLem85.TgCert.lowerKernel_mid_cert,IntervalArith.RatInterval.interval_bisect,bisection-tree,Rat/RatInterval,32,,2,unconditional 2^depth leaf evaluations
MathExtras.EffectiveMertensDecay.little_sqrt_headCert._native.native_decide.ax_1_1,MathExtras.NumberTheory.Certs,MathExtras.NumberTheory.Certs.LittleMertensSqrtHeadCert,MathExtras.EffectiveMertensDecay.little_sqrt_headCert,MathExtras.EffectiveMertensDecay.littleLvalF,linear-fold-nat,Int (<= 2^50),70000000,,18,"QUADRATIC: O(U) per call, called once per n in [3,11817]"
MathExtras.Helfgott.CorC13Certificate.corC13_cert_1024_2000._native.native_decide.ax_1_1,MathExtras.NumberTheory.Vinogradov,MathExtras.NumberTheory.Vinogradov.HelfgottCorC13Certificate,MathExtras.Helfgott.CorC13Certificate.corC13_cert_1024_2000,MathExtras.Helfgott.CorC13Certificate.corC13MarginKernel,bisection-tree,"RatInterval, roundOut 2^48",2048,48,4,interval_bisect depth<= 8 x k=8 Lambda terms; roundOut 2^48
MathExtras.Helfgott.CorC13Certificate.corC13_cert_10p5_12._native.native_decide.ax_1_1,MathExtras.NumberTheory.Vinogradov,MathExtras.NumberTheory.Vinogradov.HelfgottCorC13Certificate,MathExtras.Helfgott.CorC13Certificate.corC13_cert_10p5_12,MathExtras.Helfgott.CorC13Certificate.corC13MarginKernel,bisection-tree,"RatInterval, roundOut 2^48",5376,48,2,interval_bisect depth<= 8 x k=21 Lambda terms; roundOut 2^48
MathExtras.Helfgott.CorC13Certificate.corC13_cert_128_256._native.native_decide.ax_1_1,MathExtras.NumberTheory.Vinogradov,MathExtras.NumberTheory.Vinogradov.HelfgottCorC13Certificate,MathExtras.Helfgott.CorC13Certificate.corC13_cert_128_256,MathExtras.Helfgott.CorC13Certificate.corC13MarginKernel,bisection-tree,"RatInterval, roundOut 2^48",2048,48,3,interval_bisect depth<= 8 x k=8 Lambda terms; roundOut 2^48
MathExtras.Helfgott.CorC13Certificate.corC13_cert_12_13p5._native.native_decide.ax_1_1,MathExtras.NumberTheory.Vinogradov,MathExtras.NumberTheory.Vinogradov.HelfgottCorC13Certificate,MathExtras.Helfgott.CorC13Certificate.corC13_cert_12_13p5,MathExtras.Helfgott.CorC13Certificate.corC13MarginKernel,bisection-tree,"RatInterval, roundOut 2^48",6912,48,2,interval_bisect depth<= 8 x k=27 Lambda terms; roundOut 2^48
MathExtras.Helfgott.CorC13Certificate.corC13_cert_14p5_16._native.native_decide.ax_1_1,MathExtras.NumberTheory.Vinogradov,MathExtras.NumberTheory.Vinogradov.HelfgottCorC13Certificate,MathExtras.Helfgott.CorC13Certificate.corC13_cert_14p5_16,MathExtras.Helfgott.CorC13Certificate.corC13MarginKernel,bisection-tree,"RatInterval, roundOut 2^48",7424,48,2,interval_bisect depth<= 8 x k=29 Lambda terms; roundOut 2^48
MathExtras.Helfgott.CorC13Certificate.corC13_cert_16_20._native.native_decide.ax_1_1,MathExtras.NumberTheory.Vinogradov,MathExtras.NumberTheory.Vinogradov.HelfgottCorC13Certificate,MathExtras.Helfgott.CorC13Certificate.corC13_cert_16_20,MathExtras.Helfgott.CorC13Certificate.corC13MarginKernel,bisection-tree,"RatInterval, roundOut 2^48",5120,48,2,interval_bisect depth<= 8 x k=20 Lambda terms; roundOut 2^48
MathExtras.Helfgott.CorC13Certificate.corC13_cert_20_30._native.native_decide.ax_1_1,MathExtras.NumberTheory.Vinogradov,MathExtras.NumberTheory.Vinogradov.HelfgottCorC13Certificate,MathExtras.Helfgott.CorC13Certificate.corC13_cert_20_30,MathExtras.Helfgott.CorC13Certificate.corC13MarginKernel,bisection-tree,"RatInterval, roundOut 2^48",7680,48,2,interval_bisect depth<= 8 x k=30 Lambda terms; roundOut 2^48
MathExtras.Helfgott.CorC13Certificate.corC13_cert_256_512._native.native_decide.ax_1_1,MathExtras.NumberTheory.Vinogradov,MathExtras.NumberTheory.Vinogradov.HelfgottCorC13Certificate,MathExtras.Helfgott.CorC13Certificate.corC13_cert_256_512,MathExtras.Helfgott.CorC13Certificate.corC13MarginKernel,bisection-tree,"RatInterval, roundOut 2^48",2048,48,3,interval_bisect depth<= 8 x k=8 Lambda terms; roundOut 2^48
MathExtras.Helfgott.CorC13Certificate.corC13_cert_30_33._native.native_decide.ax_1_1,MathExtras.NumberTheory.Vinogradov,MathExtras.NumberTheory.Vinogradov.HelfgottCorC13Certificate,MathExtras.Helfgott.CorC13Certificate.corC13_cert_30_33,MathExtras.Helfgott.CorC13Certificate.corC13MarginKernel,bisection-tree,"RatInterval, roundOut 2^48",8448,48,2,interval_bisect depth<= 8 x k=33 Lambda terms; roundOut 2^48
MathExtras.Helfgott.CorC13Certificate.corC13_cert_33_64._native.native_decide.ax_1_1,MathExtras.NumberTheory.Vinogradov,MathExtras.NumberTheory.Vinogradov.HelfgottCorC13Certificate,MathExtras.Helfgott.CorC13Certificate.corC13_cert_33_64,MathExtras.Helfgott.CorC13Certificate.corC13MarginKernel,bisection-tree,"RatInterval, roundOut 2^48",16384,48,2,interval_bisect depth<= 8 x k=64 Lambda terms; roundOut 2^48
MathExtras.Helfgott.CorC13Certificate.corC13_cert_512_1024._native.native_decide.ax_1_1,MathExtras.NumberTheory.Vinogradov,MathExtras.NumberTheory.Vinogradov.HelfgottCorC13Certificate,MathExtras.Helfgott.CorC13Certificate.corC13_cert_512_1024,MathExtras.Helfgott.CorC13Certificate.corC13MarginKernel,bisection-tree,"RatInterval, roundOut 2^48",2048,48,4,interval_bisect depth<= 8 x k=8 Lambda terms; roundOut 2^48
MathExtras.Helfgott.CorC13Certificate.corC13_cert_64_128._native.native_decide.ax_1_1,MathExtras.NumberTheory.Vinogradov,MathExtras.NumberTheory.Vinogradov.HelfgottCorC13Certificate,MathExtras.Helfgott.CorC13Certificate.corC13_cert_64_128,MathExtras.Helfgott.CorC13Certificate.corC13MarginKernel,bisection-tree,"RatInterval, roundOut 2^48",16384,48,3,interval_bisect depth<= 8 x k=64 Lambda terms; roundOut 2^48
MathExtras.Helfgott.CorC13Certificate.corC13_cert_8_9._native.native_decide.ax_1_1,MathExtras.NumberTheory.Vinogradov,MathExtras.NumberTheory.Vinogradov.HelfgottCorC13Certificate,MathExtras.Helfgott.CorC13Certificate.corC13_cert_8_9,MathExtras.Helfgott.CorC13Certificate.corC13MarginKernel,bisection-tree,"RatInterval, roundOut 2^48",2304,48,1,interval_bisect depth<= 8 x k=9 Lambda terms; roundOut 2^48
MathExtras.Helfgott.CorC13Certificate.corC13_cert_9_9p5._native.native_decide.ax_1_1,MathExtras.NumberTheory.Vinogradov,MathExtras.NumberTheory.Vinogradov.HelfgottCorC13Certificate,MathExtras.Helfgott.CorC13Certificate.corC13_cert_9_9p5,MathExtras.Helfgott.CorC13Certificate.corC13MarginKernel,bisection-tree,"RatInterval, roundOut 2^48",4864,48,2,interval_bisect depth<= 8 x k=19 Lambda terms; roundOut 2^48
MathExtras.Helfgott.CorC13Certificate.corC13_cert_9p5_10p5._native.native_decide.ax_1_1,MathExtras.NumberTheory.Vinogradov,MathExtras.NumberTheory.Vinogradov.HelfgottCorC13Certificate,MathExtras.Helfgott.CorC13Certificate.corC13_cert_9p5_10p5,MathExtras.Helfgott.CorC13Certificate.corC13MarginKernel,bisection-tree,"RatInterval, roundOut 2^48",5376,48,2,interval_bisect depth<= 8 x k=21 Lambda terms; roundOut 2^48
MathExtras.Helfgott.CorC13Certificate.corC13_cert_w14_L1._native.native_decide.ax_1_1,MathExtras.NumberTheory.Vinogradov,MathExtras.NumberTheory.Vinogradov.HelfgottCorC13Certificate,MathExtras.Helfgott.CorC13Certificate.corC13_cert_w14_L1,MathExtras.Helfgott.CorC13Certificate.corC13MarginKernel,bisection-tree,"RatInterval, roundOut 2^48",6144,48,2,interval_bisect depth<= 8 x k=24 Lambda terms; roundOut 2^48
MathExtras.Helfgott.CorC13Certificate.corC13_cert_w14_L10._native.native_decide.ax_1_1,MathExtras.NumberTheory.Vinogradov,MathExtras.NumberTheory.Vinogradov.HelfgottCorC13Certificate,MathExtras.Helfgott.CorC13Certificate.corC13_cert_w14_L10,MathExtras.Helfgott.CorC13Certificate.corC13MarginKernel,bisection-tree,"RatInterval, roundOut 2^48",6144,48,2,interval_bisect depth<= 8 x k=24 Lambda terms; roundOut 2^48
MathExtras.Helfgott.CorC13Certificate.corC13_cert_w14_L11._native.native_decide.ax_1_1,MathExtras.NumberTheory.Vinogradov,MathExtras.NumberTheory.Vinogradov.HelfgottCorC13Certificate,MathExtras.Helfgott.CorC13Certificate.corC13_cert_w14_L11,MathExtras.Helfgott.CorC13Certificate.corC13MarginKernel,bisection-tree,"RatInterval, roundOut 2^48",6144,48,2,interval_bisect depth<= 8 x k=24 Lambda terms; roundOut 2^48
MathExtras.Helfgott.CorC13Certificate.corC13_cert_w14_L12._native.native_decide.ax_1_1,MathExtras.NumberTheory.Vinogradov,MathExtras.NumberTheory.Vinogradov.HelfgottCorC13Certificate,MathExtras.Helfgott.CorC13Certificate.corC13_cert_w14_L12,MathExtras.Helfgott.CorC13Certificate.corC13MarginKernel,bisection-tree,"RatInterval, roundOut 2^48",6144,48,2,interval_bisect depth<= 8 x k=24 Lambda terms; roundOut 2^48
